,Fernando,Alonso,14,29/07/1981,2001,España,2,97,1832,274,Tercer año del piloto asturiano en la escudería británica. Tanto él como McLaren buscan dar el salto de calidad definitivo que les permita luchar con los mejores. Deberían estar asentados con facilidad en la zona de puntos y aspirar a la cuarta plaza del campeonato de constructores.,"Fernando Alonso Díaz (Oviedo, Asturias, España, 29 de julio de 1981) es un piloto español de Fórmula 1. Ha ganado dos veces el Campeonato Mundial de Pilotos de Fórmula 1 en 2005 y 2006, ha sido subcampeón en 2010, 2012 y 2013, y obtuvo un tercer puesto en 2007 empatando con su compañero de equipo Lewis Hamilton. Ha competido para los equipos Minardi, Renault F1 Team (en el que fue bicampeón del mundo), McLaren y Scuderia Ferrari, siendo esta su escudería desde 2010 hasta 2014. El 20 de noviembre de 2014 la Scuderia Ferrari anuncia su marcha después de 5 temporadas. El 11 de diciembre de 2014 se anuncia su regreso a McLaren de la mano de Honda.</p>
<p>Alonso es el sexto piloto con mayor cantidad de victorias en la historia de la Fórmula 1 con 32 grandes premios ganados y el tercer piloto con más podios: 97. Entre sus triunfos se cuentan 3 en el Gran Premio de Malasia, 3 en el Gran Premio de Alemania, 3 en el Gran Premio de Europa (uno de ellos en España), 2 en el Gran Premio de Mónaco, 2 en el Gran Premio de Gran Bretaña, 2 en el Gran Premio de Italia, 2 en el Gran Premio de Japón, y otros 2 en el Gran Premio de España.</p>
<p>Junto a Alfonso de Portago y Pedro de la Rosa, Alonso es uno de los tres españoles que han alcanzado el podio en esta competición, siendo el único que ha logrado victorias. Es además uno de los cuatro pilotos que han debutado en Ferrari con victoria en la primera carrera (junto con Mario Andretti, Nigel Mansell y Kimi Räikkönen).",6,Alonso
,Stoffel,Vandoorne,2,26/03/1992,2016,Bélgica,0,0,1,1,"Primera temporada completa del belga en la Fórmula 1. Después de esperar pacientemente a la sombra de Alonso y Button, llega su turno. Quiere demostrar que tiene talento para pelear con los mejores y ser la cabeza visible de McLaren para los próximos años.","Stoffel Vandoorne (Kortrijk, Bélgica, 26 de marzo de 1992) es un piloto belga de automovilismo de velocidad. Obtuvo el subcampeonato de la Fórmula Renault 3.5 en 2013, y fue campeón de la GP2 Series en 2015 con el equipo ART Grand Prix. En 2013 ingresó al Programa de Jóvenes Pilotos de McLaren, y actualmente es piloto oficial de McLaren tras la retirada de Jenson Button. En el 2016 salió 4° en la Super Fórmula Japonesa, con Honda, y disputó el Gran Premio de Baréin, sustituyendo a Fernando Alonso.",6,Vandoorne
,Carlos,Sainz,55,1/09/1994,2015,España,0,0,64,40,"Tercera temporada del español en Toro Rosso. Después de grandes actuaciones la pasada temporada, quiere consolidarse definitivamente en el campeonato. Es un año muy importante para él, acaba contrato y tiene la oportunidad de despertar el interés de los principales equipos de la parrilla.","Carlos Sainz Vázquez de Castro (Madrid, 1 de septiembre de 1994), usualmente conocido como Carlos Sainz Jr., es un piloto de automovilismo español, que ha disputado varias competiciones internacionales, como las World Series by Renault con el equipo DAMS, que ganó en 2014. Es piloto de la Scuderia Toro Rosso en la temporada 2016 de Fórmula 1. Es hijo del excampeón mundial de rallies Carlos Sainz.",7,Sainz
,Daniil,Kvyat,26,26/04/1994,2014,Rusia,0,2,128,59,"Después de una temporada muy difícil para el ruso, quiere demostrar el talento que le llevó a lograr podios con Red Bull. Su primer objetivo será batir a Carlos Sainz después de verse superado claramente por el español durante la segunda mitad de la pasada campaña.","Daniil Viacheslávovich Kvyat (Ufá, Baskortostán, Rusia, 26 de abril de 1994) es un piloto ruso de automovilismo de velocidad. Debutó en la Fórmula 1 como sustituto del piloto Daniel Ricciardo en el equipo italiano Toro Rosso para la temporada 2014, y actualmente es compañero de Carlos Sainz Jr. en Toro Rosso. En el año 2012 fue campeón de la Fórmula Renault 2 con 7 victorias. En 2013 compitió en la Fórmula 3 Europea y se proclamó campeón de la GP3 Series.",7,Kvyat
,Romain,Grosjean,8,17/04/1986,2009,Francia,0,10,316,104,"El piloto francés se ganó su continuidad en la escudería estadounidense gracias a sus buenas actuaciones en 2016. Logró los 29 puntos que consiguió Haas, venciendo de una manera muy clara a su compañero Esteban Gutiérrez. Ahora, como claro líder del equipo, tratará de repetir el gran rendimiento de la pasada campaña.","Romain Grosjean (Ginebra, Suiza, 17 de abril de 1986) es un piloto de automovilismo de velocidad francés. Fue campeón de la Fórmula 3 Euroseries 2007 y la GP2 Series 2011. Grosjean ha disputado la Fórmula 1 en 2009 para Renault, y a partir de 2012 para Lotus. El piloto ha conseguido diez podios, y finalizó séptimo en el campeonato 2013 y octavo en 2012.",8,Grosjean
,Kevin,Magnussen,20,5/10/1992,2014,Dinamarca,0,1,62,41,"Después de un año en Renault llega a Haas para tratar de demostrar el talento que apuntó en su única campaña con McLaren, en la que logró su único podio. Todavía joven, se esperan grandes cosas del danés en la F1.","Kevin Magnussen (Roskilde, Dinamarca, 5 de octubre, de 1992) es un piloto danés de automovilismo de velocidad. Es hijo del piloto retirado de Fórmula 1 Jan Magnussen. En 2013 ganó el campeonato de Formula Renault 3.5 Series y fue miembro del Programa de Jóvenes Pilotos de McLaren.1 Debutó en la Fórmula 1 en 2014 con el equipo McLaren con un segundo puesto en su primera carrera. En temporada 2016, vuelve a correr con Renault, en sustitución de Pastor Maldonado. Para la temporada 2017, cambia de equipo y será compañero de Romain Grosjean en la escudería estadounidense Haas F1 Team.",8,Magnussen
,Nico,Hulkenberg,27,19/08/1987,2010,Alemania,0,0,362,117,Llega como fichaje de estrella de la escudería. El piloto alemán tiene ganas de reivindicarse después de que su etapa en Force India no fuera tan exitosa cómo se esperaba. Será la cabeza visible de un proyecto que quiere ser ganador a largo plazo.,"Nicolas ""Nico"" Hülkenberg (Emmerich am Rhein, Alemania, 19 de agosto de 1987) es un piloto alemán de Fórmula 1 que forma parte del equipo Renault F1 Team como piloto titular para la temporada 2017. Por otra parte, fue ganador absoluto de la prueba de resistencia de las 24 Horas de Le Mans de 2015 en su primera participación.",9,Hulkenberg
,Jolyon,Palmer,30,20/01/1991,2016,Reino Unido,0,0,1,21,"Después de un año en Renault llega a Renault para tratar de demostrar el talento que apuntó en su única campaña con McLaren, en la que logró su único podio. Todavía joven, se esperan grandes cosas del danés en la F1.","Jolyon Palmer (Horsham, 20 de enero 1991) es un piloto de automovilismo británico, campeón de la GP2 Series 2014. En 2016 dio el salto a la F1, siendo piloto oficial de Renault junto al danés Kevin Magnussen.</p>
<p>Para 2017, seguirá siendo piloto de Renault, pero esta vez tendrá a Nico Hülkenberg como compañero de equipo.",9,Palmer
,Pascal,Wehrlein,94,18/10/1994,2016,Alemania,0,0,1,21,"El sueco disputará su tercera temporada con Sauber tratando de mejorar sus resultados de la pasada campaña, en la que ni siquiera fue capaz de puntuar. Si quiere mostrar que es capaz de ser competitivo en la Fórmula 1, este tiene que ser su año.","Pascal Wehrlein (18 de octubre de 1994, Sigmaringen, Baden-Württemberg) es un piloto de automovilismo alemán1. Actualmente es piloto oficial de la escudería suiza Sauber F1 Team.</p>
<p>El 10 de febrero de 2016, el piloto confirmó que en 2016 competiría en Fórmula 1 con el equipo Manor Racing. Consiguió el primer punto del equipo al terminar 10º en Austria.</p>
<p>El 16 de enero de 2017, se anuncia su fichaje por el equipo suizo Sauber F1 Team para la temporada 2017 de fórmula 1.",10,Wehrlein
,Marcus,Ericsson,9,2/09/1990,2014,Suecia,0,0,9,56,"Después de un invierno convulso en el que llegó a sonar como candidato al volante de Mercedes, el alemán seguirá fogueándose en la en el equipo Sauber. Tratará de demostrar a Mercedes que estaba preparado para ocupar el puesto que fue para Bottas.","Marcus Ericsson (Kumla, Suecia, 2 de septiembre de 1990) es un piloto sueco de automovilismo de velocidad, que actualmente corre en la Fórmula 1 para el equipo Sauber.</p>
<p>El 21 de noviembre de 2013, salió a la luz que Ericsson era un candidato para pilotar en el equipo de Caterham en 2014 con Kamui Kobayashi como compañero de equipo. Dos meses después, el 21 de enero de 2014, el equipo anunció oficialmente que Ericsson y Kobayashi serían sus pilotos titulares para la próxima temporada, con Robin Frijns como piloto reserva. Logró terminar 14º en su segunda carrera en la máxima categoría, y en el GP de Mónaco, se quedó a las puertas de puntuar, consiguiendo su mejor resultado del año (11º). El resto de la temporada fue para olvidar con unos registros pobres al volante del peor coche de la parrilla.</p>
<p>El 1 de noviembre de 2014, Sauber confirma a Ericsson para 2015.",10,Ericsson
